year,country,who_region,v4,gdp,population,cumulative_cases_2022,cumulative_deaths_2022,log_cum_case,log_population,log_gdp,log_cum_deaths,median_age,_merge,infection_rate
2022,Yemen,EMRO,Eastern Mediterranean Region,21.888,33697000,11945,2159,9.3880682,17.33292,3.0859385,7.6774006,18.356,matched (3),0.000354483
2022,Bosnia and Herzegovina,EURO,European Region,20.202999,3320954,400868,16221,12.901387,15.015762,3.005831,9.6940622,41.149,matched (3),0.120708688
2022,Afghanistan,EMRO,Eastern Mediterranean Region,18.875999,32890171,207214,7845,12.241508,17.308685,2.9378912,8.9676313,16.325,matched (3),0.00630018
2022,Lao People's Democratic Republic,WPRO,Western Pacific Region,18.791,7337783,217586,757,12.290349,15.808547,2.933378,6.6293631,23.179,matched (3),0.029652826
2022,Georgia,EURO,European Region,17.476999,3688600,1808820,16897,14.408185,15.120757,2.8608856,9.7348909,36.202,matched (3),0.490381174
2022,Mali,AFRO,African Region,17.281,22594000,32767,743,10.397177,16.933195,2.8496077,6.6106958,14.927,matched (3),0.001450252
2022,Gabon,AFRO,African Region,16.875,2233272,48973,306,10.799025,14.618979,2.8258333,5.7235851,21.497,matched (3),0.021928811
2022,Botswana,AFRO,African Region,16.695999,2410338,327471,2786,12.699155,14.695277,2.8151691,7.9323621,23.127,matched (3),0.135861029
2022,Burkina Faso,AFRO,African Region,15.991,21510181,22006,395,9.9990702,16.884037,2.7720261,5.9788857,16.347,matched (3),0.00102305
2022,Jamaica,AMRO,Region of the Americas,15.808,2734093,152758,3461,11.93661,14.82131,2.7605162,8.149313,29.829,matched (3),0.055871545
2022,Malta,EURO,European Region,15.728,519562,116212,813,11.663172,13.160742,2.7554426,6.7007313,38.972,matched (3),0.223673017
2022,Albania,EURO,European Region,15.399,2829741,332553,3594,12.714555,14.855696,2.7343025,8.1870213,36.483,matched (3),0.117520649
2022,Mozambique,AFRO,African Region,15.39,31616078,230918,2229,12.349818,17.269176,2.7337179,7.7093081,16.615,matched (3),0.007303815
2022,Haiti,AMRO,Region of the Americas,14.787,11743017,33893,860,10.430964,16.278769,2.6937485,6.7569323,22.566,matched (3),0.002886226
2022,Benin,AFRO,African Region,14.392,12506347,27982,163,10.239317,16.341747,2.6666725,5.09375,17.357,matched (3),0.002237424
2022,Mongolia,WPRO,Western Pacific Region,14.206,3475146,1007266,2136,13.82275,15.061147,2.6536644,7.6666903,26.568,matched (3),0.289848542
2022,Madagascar,AFRO,African Region,14.105,26923353,67684,1415,11.122605,17.108505,2.6465294,7.2548847,18.624,matched (3),0.002513951
2022,Mauritius,AFRO,African Region,14.046,1266334,289980,1039,12.577567,14.051637,2.6423376,6.9460139,36.037,matched (3),0.228991719
2022,Armenia,EURO,European Region,13.619,2963900,445881,8712,13.007808,14.902017,2.6114659,9.0724564,33.676,matched (3),0.150437262
2022,Brunei Darussalam,WPRO,Western Pacific Region,13.469,429999,266819,146,12.494326,12.971539,2.6003907,4.9836068,30.839,matched (3),0.620510745
2022,Guinea,AFRO,African Region,13.443,12907395,38191,465,10.550355,16.37331,2.5984585,6.1420374,17.428,matched (3),0.002958846
2022,Bahamas,AMRO,Region of the Americas,13.193,393450,37491,833,10.531857,12.88271,2.5796864,6.7250338,31.756,matched (3),0.095287838
2022,Niger,AFRO,African Region,12.912,24112753,9473,314,9.1562014,16.998251,2.5581572,5.749393,14.429,matched (3),0.000392863
2022,Congo,AFRO,African Region,12.791,5970000,24775,386,10.11759,15.602258,2.5487418,5.9558372,18.038,matched (3),0.004149916
2022,Nicaragua,AMRO,Region of the Americas,12.611,6595674,15365,245,9.6398478,15.701924,2.5345695,5.5012584,23.867,matched (3),0.002329557
2022,North Macedonia,EURO,European Region,12.609,1832696,345402,9608,12.752464,14.421299,2.534411,9.170351,37.611,matched (3),0.188466609
2022,Namibia,AFRO,African Region,12.539,2550226,170164,4080,12.044518,14.751693,2.5288439,8.3138523,21.091,matched (3),0.066725067
2022,Republic of Moldova,EURO,European Region,11.737,2597100,596100,11929,13.298163,14.769906,2.4627461,9.3867273,35.574,matched (3),0.22952524
2022,Equatorial Guinea,AFRO,African Region,11.364,1505588,17089,183,9.7461901,14.224694,2.4304504,5.209486,20.973,matched (3),0.011350383
2022,Malawi,AFRO,African Region,11.031,21507723,88123,2685,11.386489,16.883923,2.4007094,7.8954358,16.362,matched (3),0.004097272
2022,Chad,AFRO,African Region,10.993,16818391,7649,194,8.9423304,16.637983,2.3972588,5.267858,14.898,matched (3),0.0004548
2022,Rwanda,AFRO,African Region,10.355,12955768,132920,1467,11.797503,16.377052,2.3374696,7.2909746,18.668,matched (3),0.010259523
2022,Kyrgyzstan,EURO,European Region,8.8719997,7000000,206557,2991,12.238332,15.76142,2.1829002,8.0033627,23.566,matched (3),0.029508143
2022,Tajikistan,EURO,European Region,8.3009996,9506000,17786,125,9.7861671,16.067434,2.1163759,4.8283138,21.221,matched (3),0.001871029
2022,Mauritania,AFRO,African Region,8.0649996,4271197,63423,997,11.057582,15.267405,2.0875337,6.9047508,17.313,matched (3),0.014848999
2022,Kosovo,EURO,European Region,7.9000001,1798188,272200,3192,12.514293,14.40229,2.0668628,8.0684032,,master only (1),0.151374606
2022,Togo,AFRO,African Region,7.2210002,7886000,39339,290,10.579971,15.8806,1.9769934,5.6698809,18.428,matched (3),0.004988461
2022,Somalia,EMRO,Eastern Mediterranean Region,6.4850001,17598000,27300,1361,10.214642,16.683296,1.8694918,7.2159748,15.102,matched (3),0.001551313
2022,Maldives,SEARO,South-East Asian Region,5.598,383135,185666,311,12.131704,12.856143,1.7224094,5.7397928,29.273,matched (3),0.484596813
2022,Montenegro,EURO,European Region,5.5430002,621306,284464,2790,12.558362,13.339579,1.7125359,7.9337969,37.68,matched (3),0.457848468
2022,Fiji,WPRO,Western Pacific Region,5.4819999,898402,68702,881,11.137533,13.708373,1.70147,6.7810578,26.309,matched (3),0.076471335
2022,South Sudan,AFRO,African Region,5.3189998,13249924,18368,138,9.8183651,16.399502,1.6712853,4.9272537,15.421,matched (3),0.001386272
2022,Barbados,AMRO,Region of the Americas,5.2979999,282000,104416,567,11.556138,12.549663,1.6673294,6.3403592,38.353,matched (3),0.370269504
2022,Guyana,AMRO,Region of the Americas,5.1739998,743699,71963,1286,11.183908,13.519392,1.6436461,7.1592917,24.989,matched (3),0.09676361
2022,Eswatini,AFRO,African Region,4.4949999,1202000,73992,1422,11.211712,13.999497,1.5029657,7.2598195,21.012,matched (3),0.061557404
2022,Sierra Leone,AFRO,African Region,4.0739999,8494260,7760,125,8.9567375,15.954901,1.4046253,4.8283138,18.427,matched (3),0.000913558
2022,Suriname,AMRO,Region of the Americas,3.984,598000,81581,1393,11.309352,13.301346,1.3822863,7.2392149,27.595,matched (3),0.136423077
2022,Aruba,AMRO,Region of the Americas,3.369,111050,43752,280,10.686293,11.617736,1.2146159,5.6347895,40.535,matched (3),0.393984692
2022,Andorra,EURO,European Region,3.155,81057,47686,165,10.772393,11.302908,1.1489885,5.1059456,41.699,matched (3),0.588302059
2022,Djibouti,EMRO,Eastern Mediterranean Region,3.089,976107,15690,189,9.660779,13.791327,1.1278474,5.2417469,23.235,matched (3),0.016074057
2022,Liberia,AFRO,African Region,3.0799999,4661010,8043,294,8.9925575,15.354743,1.1249295,5.6835799,17.667,matched (3),0.001725592
2022,Burundi,AFRO,African Region,3.0120001,12574571,51722,15,10.853639,16.347187,1.1026043,2.7080503,15.308,matched (3),0.004113222
2022,Bhutan,SEARO,South-East Asian Region,2.4519999,763200,62524,21,11.043305,13.545276,0.89690399,3.0445225,27.011,matched (3),0.08192348
2022,Belize,AMRO,Region of the Americas,2.3710001,441471,69675,688,11.151597,12.997868,0.86331183,6.5337887,24.335,matched (3),0.157824636
2022,Lesotho,AFRO,African Region,2.299,2306000,34490,706,10.448424,14.651025,0.83247423,6.5596151,21.736,matched (3),0.014956635
2022,Central African Republic,AFRO,African Region,2.2780001,5633412,15310,113,9.6362619,15.544226,0.82329786,4.7273879,14.594,matched (3),0.002717714
2022,Cabo Verde,AFRO,African Region,2.1719999,563198,63173,412,11.053633,13.241386,0.77564842,6.0210233,25.563,matched (3),0.112168367
2022,Saint Lucia,AMRO,Region of the Americas,2.0940001,178696,29741,409,10.300282,12.093441,0.73907614,6.0137153,32.319,matched (3),0.166433496
2022,Timor-Leste,SEARO,South-East Asian Region,2.0480001,1317780,23386,138,10.059893,14.091459,0.71686369,4.9272537,19.674,matched (3),0.017746513
2022,Eritrea,AFRO,African Region,1.982,3684000,10189,103,9.229064,15.11951,0.68410641,4.6347289,17.781,matched (3),0.002765744
2022,Gambia,AFRO,African Region,1.806,2706000,12586,372,9.44034,14.810982,0.59111446,5.9188938,16.505,matched (3),0.004651146
2022,Antigua and Barbuda,AMRO,Region of the Americas,1.688,100772,9106,146,9.1166887,11.520616,0.52354437,4.9836068,33.825,matched (3),0.090362402
2022,Seychelles,AFRO,African Region,1.683,100447,50355,172,10.826853,11.517385,0.52057791,5.1474943,31.942,matched (3),0.501309148
2022,Solomon Islands,WPRO,Western Pacific Region,1.619,728041,24575,153,10.109485,13.498113,0.48180866,5.0304379,18.99,matched (3),0.033754967
2022,San Marino,EURO,European Region,1.6160001,33785,22813,120,10.035086,10.427773,0.47995397,4.7874918,45.228,matched (3),0.675240491
2022,Guinea-Bissau,AFRO,African Region,1.487,1646077,8848,176,9.0879469,14.313906,0.39676067,5.1704841,17.916,matched (3),0.005375204
2022,Grenada,AMRO,Region of the Americas,1.2130001,125000,19644,238,9.8855276,11.736069,0.19309662,5.4722705,30.061,matched (3),0.157152
2022,Comoros,AFRO,African Region,1.188,758316,8979,160,9.102644,13.538856,0.17227122,5.0751739,19.613,matched (3),0.01184071
2022,Saint Kitts and Nevis,AMRO,Region of the Americas,1.165,48000,6560,46,8.7887459,10.778956,0.15272109,3.8286414,33.132,matched (3),0.136666667
2022,Vanuatu,WPRO,Western Pacific Region,0.93000001,301295,12013,14,9.3937445,12.615845,-0.072570696,2.6390574,19.457,matched (3),0.039871223
2022,Samoa,WPRO,Western Pacific Region,0.91299999,199853,15982,29,9.6792183,12.205338,-0.091019399,3.3672957,20.412,matched (3),0.079968777
2022,Saint Vincent and the Grenadines,AMRO,Region of the Americas,0.91000003,110696,9521,118,9.1612549,11.614543,-0.094310679,4.7706847,32.512,matched (3),0.086010335
2022,Dominica,AMRO,Region of the Americas,0.61199999,73000,15760,74,9.6652308,11.198215,-0.491023,4.3040652,31.173,matched (3),0.215890411
2022,Tonga,WPRO,Western Pacific Region,0.51099998,100179,16211,12,9.6934452,11.514714,-0.67138571,2.4849067,21.259,matched (3),0.161820342
2022,Micronesia (Federated States of),WPRO,Western Pacific Region,0.41600001,105754,22069,58,10.001929,11.568871,-0.87707001,4.0604429,,master only (1),0.208682414
2022,Palau,WPRO,Western Pacific Region,0.27900001,16733,5955,9,8.6919861,9.7251377,-1.2765435,2.1972246,35.514,matched (3),0.355883583
2022,Marshall Islands,WPRO,Western Pacific Region,0.236,39262,15547,17,9.6516228,10.578012,-1.4439235,2.8332133,23.422,matched (3),0.395980847
2022,Kiribati,WPRO,Western Pacific Region,0.178,120740,3430,13,8.140316,11.701395,-1.7259717,2.5649493,21.536,matched (3),0.02840815
2022,Nauru,WPRO,Western Pacific Region,0.119,11832,4621,1,8.4383659,9.3785629,-2.1286318,0,20.179,matched (3),0.390551048
