Year,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2021,Falkland Islands (Malvinas),AMRO,1,82,0,0
2021,Faroe Islands,EURO,216,5769,1,14
2021,Fiji,WPRO,0,53332,0,698
2021,Finland,EURO,7318,271184,20,1725
2021,France,EURO,204636,9482582,174,120962
2021,French Guiana,AMRO,361,48399,0,339
2021,French Polynesia,WPRO,43,46425,0,636
2021,Gabon,AFRO,725,41798,0,288
2021,Gambia,AFRO,0,10170,0,343
2021,Georgia,EURO,2100,934741,42,13800
2021,Germany,EURO,41464,7165195,196,118331
2021,Ghana,AFRO,1067,146119,3,1306
2021,Gibraltar,EURO,112,8533,0,100
2021,Greece,EURO,35580,1170293,72,20708
2021,Greenland,EURO,94,2501,0,1
2021,Grenada,AMRO,64,6073,0,200
2021,Guadeloupe,AMRO,0,55795,0,831
2021,Guam,WPRO,51,15352,0,270
2021,Guatemala,AMRO,821,626675,3,16102
2021,Guernsey,EURO,394,7802,0,24
2021,Guinea,AFRO,397,32448,0,391
2021,Guinea-Bissau,AFRO,8,6484,0,149
2021,Guyana,AMRO,87,39238,1,1051
2021,Haiti,AMRO,113,26169,7,773
2021,Holy See,EURO,0,26,0,0
2021,Honduras,AMRO,140,379542,0,10434
2021,Hungary,EURO,3360,1256415,82,39186
2021,Iceland,EURO,1521,28333,0,37
2021,India,SEARO,16764,34838804,220,481080
2021,Indonesia,SEARO,180,4262720,6,144094
2021,Iran (Islamic Republic of),EMRO,1936,6192698,45,131572
2021,Iraq,EMRO,300,2093436,3,24154
2021,Ireland,EURO,20554,772985,13,6101
2021,Isle of Man,EURO,580,15366,0,67
2021,Israel,EURO,5079,1381936,0,8259
2021,Italy,EURO,127000,5981428,156,137247
2021,Jamaica,AMRO,365,93591,1,2470
2021,Japan,WPRO,490,1733325,0,18393
2021,Jersey,EURO,426,19416,0,89
2021,Jordan,EMRO,2045,1061560,30,12620
2021,Kazakhstan,EURO,522,1072037,8,18227
2021,Kenya,AFRO,3286,292237,4,5376
2021,Kiribati,WPRO,0,0,0,0
2021,Kosovo[1],EURO,53,161399,0,2980
2021,Kuwait,EMRO,554,416631,0,2468
2021,Kyrgyzstan,EURO,56,184689,2,2802
2021,Lao People's Democratic Republic,WPRO,1272,110054,5,360
2021,Latvia,EURO,1157,276674,9,4570
2021,Lebanon,EMRO,4537,723640,15,9102
2021,Lesotho,AFRO,1080,29652,5,671
2021,Liberia,AFRO,78,6584,0,287
2021,Libya,EMRO,640,388183,11,5696
2021,Liechtenstein,EURO,38,6220,0,69
2021,Lithuania,EURO,1864,522350,19,7384
2021,Luxembourg,EURO,1231,102487,2,915
2021,Madagascar,AFRO,0,50279,0,1027
2021,Malawi,AFRO,963,74201,5,2355
2021,Malaysia,WPRO,3997,2754513,34,31462
2021,Maldives,SEARO,160,95700,0,262
2021,Mali,AFRO,202,20670,0,658
2021,Malta,EURO,1403,52470,1,477
2021,Marshall Islands,WPRO,0,4,0,0
2021,Martinique,AMRO,1246,49369,6,783
2021,Mauritania,AFRO,248,41154,1,863
2021,Mauritius,AFRO,195,91094,0,786
2021,Mayotte,AFRO,0,21911,0,185
2021,Mexico,AMRO,11627,4034822,103,303822
2021,Micronesia (Federated States of),WPRO,0,0,0,0
2021,Monaco,EURO,100,5085,0,38
2021,Mongolia,WPRO,593,692621,1,1986
2021,Montenegro,EURO,1743,168338,3,2401
2021,Montserrat,AMRO,0,45,0,1
2021,Morocco,EMRO,1960,961058,2,14844
2021,Mozambique,AFRO,4947,184219,8,1996
2021,Myanmar,SEARO,189,530834,3,19268
2021,Namibia,AFRO,865,148839,12,3645
2021,Nauru,WPRO,0,0,0,0
2021,Nepal,SEARO,224,828431,4,11594
2021,Netherlands,EURO,14758,3114894,40,20884
2021,New Caledonia,WPRO,51,12898,0,281
2021,New Zealand,WPRO,60,13746,0,51
2021,Nicaragua,AMRO,0,13563,0,217
2021,Niger,AFRO,58,7365,0,274
2021,Nigeria,AFRO,1139,241513,2,3030
2021,Niue,WPRO,0,0,0,0
2021,North Macedonia,EURO,542,225049,7,7964
2021,Northern Mariana Islands (Commonwealth of the),WPRO,123,3208,0,13
2021,Norway,EURO,4193,394908,0,1394
2021,"occupied Palestinian territory, including east Jerusalem",EMRO,264,470303,6,4931
2021,Oman,EMRO,132,305489,0,4483
2021,Other,Other,0,764,0,13
2021,Pakistan,EMRO,482,1294861,3,28921
2021,Palau,WPRO,0,10,0,0
2021,Panama,AMRO,1348,491043,4,7425
2021,Papua New Guinea,WPRO,0,36158,0,590
2021,Paraguay,AMRO,277,466101,8,16624
2021,Peru,AMRO,4020,2287494,0,202584
2021,Philippines,WPRO,1381,2841018,132,51373
2021,Pitcairn Islands,WPRO,0,0,0,0
2021,Poland,EURO,13601,4109822,638,97057
2021,Portugal,EURO,29322,1357375,14,18934
2021,Puerto Rico,AMRO,15198,286138,5,3311
2021,Qatar,EMRO,542,249787,1,617
2021,Republic of Korea,WPRO,4872,630835,108,5563
